case_id;task;resource;start_time;completion_time
application_received0;application_received;;2023-01-01 09:00:00.000000;2023-01-01 09:00:00.000000
application_received0;review_application;officer1;2023-01-01 09:00:00.000000;2023-01-01 09:24:03.454157
application_received1;application_received;;2023-01-01 10:05:47.485593;2023-01-01 10:05:47.485593
application_received0;credit_check;analyst1;2023-01-01 09:24:03.454157;2023-01-01 10:19:28.944888
application_received1;review_application;officer2;2023-01-01 10:05:47.485593;2023-01-01 10:26:08.951302
application_received0;document_verification;verifier1;2023-01-01 10:19:28.944888;2023-01-01 10:31:53.489988
application_received2;application_received;;2023-01-01 10:41:09.729394;2023-01-01 10:41:09.729394
application_received3;application_received;;2023-01-01 10:57:05.236901;2023-01-01 10:57:05.236901
application_received2;review_application;officer3;2023-01-01 10:41:09.729394;2023-01-01 11:00:17.011623
application_received3;review_application;officer4;2023-01-01 10:57:05.236901;2023-01-01 11:12:46.049234
application_received1;credit_check;analyst2;2023-01-01 10:26:08.951302;2023-01-01 11:21:42.465314
application_received4;application_received;;2023-01-01 11:24:54.428843;2023-01-01 11:24:54.428843
application_received0;risk_assessment;risk1;2023-01-01 10:19:28.944888;2023-01-01 11:30:53.189802
application_received0;application_approved;;2023-01-01 11:30:53.189802;2023-01-01 11:30:53.189802
application_received1;document_verification;verifier2;2023-01-01 11:21:42.465314;2023-01-01 11:36:01.421337
application_received4;review_application;officer5;2023-01-01 11:24:54.428843;2023-01-01 11:46:48.716267
application_received2;credit_check;analyst3;2023-01-01 11:00:17.011623;2023-01-01 12:02:29.625219
application_received5;application_received;;2023-01-01 12:10:32.261416;2023-01-01 12:10:32.261416
application_received2;document_verification;verifier3;2023-01-01 12:02:29.625219;2023-01-01 12:16:37.830413
application_received6;application_received;;2023-01-01 12:16:55.094455;2023-01-01 12:16:55.094455
application_received3;credit_check;analyst4;2023-01-01 11:12:46.049234;2023-01-01 12:25:42.720655
application_received1;risk_assessment;risk2;2023-01-01 11:21:42.465314;2023-01-01 12:32:14.030719
application_received1;application_approved;;2023-01-01 12:32:14.030719;2023-01-01 12:32:14.030719
application_received5;review_application;officer1;2023-01-01 12:10:32.261416;2023-01-01 12:33:18.283661
application_received6;review_application;officer2;2023-01-01 12:16:55.094455;2023-01-01 12:36:50.732057
application_received3;document_verification;verifier4;2023-01-01 12:25:42.720655;2023-01-01 12:40:37.330199
application_received4;credit_check;analyst5;2023-01-01 11:46:48.716267;2023-01-01 12:50:43.488977
application_received7;application_received;;2023-01-01 12:56:11.722035;2023-01-01 12:56:11.722035
application_received4;document_verification;verifier5;2023-01-01 12:50:43.488977;2023-01-01 13:01:24.172005
application_received2;risk_assessment;risk3;2023-01-01 12:02:29.625219;2023-01-01 13:14:34.073484
application_received2;application_approved;;2023-01-01 13:14:34.073484;2023-01-01 13:14:34.073484
application_received7;review_application;officer3;2023-01-01 12:56:11.722035;2023-01-01 13:16:21.274407
application_received3;risk_assessment;risk4;2023-01-01 12:25:42.720655;2023-01-01 13:33:16.747953
application_received3;application_approved;;2023-01-01 13:33:16.747953;2023-01-01 13:33:16.747953
application_received5;credit_check;analyst6;2023-01-01 12:33:18.283661;2023-01-01 13:33:30.170585
