case_id;task;resource;start_time;completion_time
application_received45;application_received;;2023-01-02 09:14:04.358998;2023-01-02 09:14:04.358998
application_received45;review_application;officer3;2023-01-02 09:14:04.358998;2023-01-02 09:33:17.485607
application_received45;credit_check;analyst7;2023-01-02 09:33:17.485607;2023-01-02 10:41:16.243358
application_received45;document_verification;verifier2;2023-01-02 10:41:16.243358;2023-01-02 10:51:32.795228
application_received45;risk_assessment;risk6;2023-01-02 10:41:16.243358;2023-01-02 11:39:03.277889
application_received45;application_approved;;2023-01-02 11:39:03.277889;2023-01-02 11:39:03.277889
application_received46;application_received;;2023-01-02 09:35:05.445505;2023-01-02 09:35:05.445505
application_received46;review_application;officer1;2023-01-02 09:35:05.445505;2023-01-02 09:52:27.534927
application_received46;request_missing_document;officer1;2023-01-02 09:52:27.534927;2023-01-02 10:07:30.832813
application_received46;review_application;officer1;2023-01-02 10:07:31.832813;2023-01-02 11:16:21.403651
application_received46;credit_check;analyst4;2023-01-02 11:16:21.403651;2023-01-02 12:14:28.297569
application_received46;document_verification;verifier1;2023-01-02 12:14:28.297569;2023-01-02 12:26:44.719494
application_received46;risk_assessment;risk7;2023-01-02 12:14:28.297569;2023-01-02 13:26:57.339256
application_received46;application_approved;;2023-01-02 13:26:57.339256;2023-01-02 13:26:57.339256
application_received47;application_received;;2023-01-02 09:40:05.638386;2023-01-02 09:40:05.638386
application_received47;review_application;officer2;2023-01-02 09:40:05.638386;2023-01-02 10:03:07.901011
application_received47;credit_check;analyst8;2023-01-02 10:03:07.901011;2023-01-02 11:03:56.101196
application_received47;document_verification;verifier3;2023-01-02 11:03:56.101196;2023-01-02 11:18:16.893933
application_received47;risk_assessment;risk8;2023-01-02 11:03:56.101196;2023-01-02 12:18:34.017226
application_received47;application_rejected;;2023-01-02 12:18:34.017226;2023-01-02 12:18:34.017226
application_received48;application_received;;2023-01-02 11:35:44.166972;2023-01-02 11:35:44.166972
application_received48;review_application;officer5;2023-01-02 11:35:44.166972;2023-01-02 11:51:00.696964
application_received48;credit_check;analyst10;2023-01-02 11:51:00.696964;2023-01-02 12:46:42.512220
application_received48;document_verification;verifier4;2023-01-02 12:46:42.512220;2023-01-02 12:59:12.862412
application_received48;risk_assessment;risk1;2023-01-02 12:46:42.512220;2023-01-02 13:47:59.137177
application_received48;application_rejected;;2023-01-02 13:47:59.137177;2023-01-02 13:47:59.137177
application_received50;application_received;;2023-01-02 13:21:00.083044;2023-01-02 13:21:00.083044
application_received50;review_application;officer3;2023-01-02 13:21:00.083044;2023-01-02 13:39:09.769762
application_received50;credit_check;analyst1;2023-01-02 13:39:09.769762;2023-01-02 14:46:52.412361
application_received50;document_verification;verifier2;2023-01-02 14:46:52.412361;2023-01-02 15:01:30.576362
application_received50;risk_assessment;risk10;2023-01-02 14:46:52.412361;2023-01-02 15:59:27.773970
application_received50;application_rejected;;2023-01-02 15:59:27.773970;2023-01-02 15:59:27.773970
application_received51;application_received;;2023-01-02 14:24:42.766887;2023-01-02 14:24:42.766887
application_received51;review_application;officer1;2023-01-02 14:24:42.766887;2023-01-02 14:42:43.918472
application_received51;credit_check;analyst5;2023-01-02 14:42:43.918472;2023-01-02 15:39:22.306873
application_received51;document_verification;verifier1;2023-01-02 15:39:22.306873;2023-01-02 15:50:22.123877
application_received51;risk_assessment;risk2;2023-01-02 15:39:22.306873;2023-01-02 16:34:43.648016
application_received51;application_approved;;2023-01-02 16:34:43.648016;2023-01-02 16:34:43.648016
application_received95;application_received;;2023-01-03 09:00:41.664363;2023-01-03 09:00:41.664363
application_received95;review_application;officer4;2023-01-03 09:00:41.664363;2023-01-03 09:17:32.176528
application_received95;credit_check;analyst7;2023-01-03 09:17:32.176528;2023-01-03 10:32:18.626282
application_received95;document_verification;verifier1;2023-01-03 10:32:18.626282;2023-01-03 10:42:48.014880
application_received95;risk_assessment;risk6;2023-01-03 10:32:18.626282;2023-01-03 11:37:58.032739
application_received95;application_approved;;2023-01-03 11:37:58.032739;2023-01-03 11:37:58.032739
application_received96;application_received;;2023-01-03 09:35:23.260882;2023-01-03 09:35:23.260882
application_received96;review_application;officer1;2023-01-03 09:35:23.260882;2023-01-03 09:55:04.006594
application_received96;request_missing_document;officer1;2023-01-03 09:55:04.006594;2023-01-03 10:10:25.534073
application_received96;review_application;officer1;2023-01-03 10:10:26.534073;2023-01-03 11:08:03.517278
application_received96;credit_check;analyst6;2023-01-03 11:08:03.517278;2023-01-03 12:14:37.792692
application_received96;document_verification;verifier2;2023-01-03 12:14:37.792692;2023-01-03 12:25:05.953192
application_received96;risk_assessment;risk5;2023-01-03 12:14:37.792692;2023-01-03 13:27:47.904070
application_received96;application_approved;;2023-01-03 13:27:47.904070;2023-01-03 13:27:47.904070
application_received97;application_received;;2023-01-03 09:51:10.406735;2023-01-03 09:51:10.406735
application_received97;review_application;officer2;2023-01-03 09:51:10.406735;2023-01-03 10:09:40.148229
application_received97;credit_check;analyst4;2023-01-03 10:09:40.148229;2023-01-03 11:05:04.785179
application_received97;document_verification;verifier3;2023-01-03 11:05:04.785179;2023-01-03 11:19:44.730067
application_received97;risk_assessment;risk1;2023-01-03 11:05:04.785179;2023-01-03 12:17:36.018026
application_received97;application_approved;;2023-01-03 12:17:36.018026;2023-01-03 12:17:36.018026
application_received98;application_received;;2023-01-03 10:05:45.994324;2023-01-03 10:05:45.994324
application_received98;review_application;officer5;2023-01-03 10:05:45.994324;2023-01-03 10:29:36.023045
application_received98;credit_check;analyst10;2023-01-03 10:29:36.023045;2023-01-03 11:40:54.539734
application_received98;document_verification;verifier4;2023-01-03 11:40:54.539734;2023-01-03 11:52:26.728564
application_received98;risk_assessment;risk9;2023-01-03 11:40:54.539734;2023-01-03 12:46:29.163271
application_received98;application_approved;;2023-01-03 12:46:29.163271;2023-01-03 12:46:29.163271
application_received99;application_received;;2023-01-03 10:10:02.025762;2023-01-03 10:10:02.025762
application_received99;review_application;officer3;2023-01-03 10:10:02.025762;2023-01-03 10:29:50.083303
application_received99;credit_check;analyst9;2023-01-03 10:29:50.083303;2023-01-03 11:39:49.018178
application_received99;document_verification;verifier5;2023-01-03 11:39:49.018178;2023-01-03 11:52:33.778351
application_received99;risk_assessment;risk8;2023-01-03 11:39:49.018178;2023-01-03 12:43:54.955523
application_received99;application_approved;;2023-01-03 12:43:54.955523;2023-01-03 12:43:54.955523
application_received100;application_received;;2023-01-03 11:09:29.018090;2023-01-03 11:09:29.018090
application_received100;review_application;officer4;2023-01-03 11:09:29.018090;2023-01-03 11:33:38.558335
application_received100;request_missing_document;officer4;2023-01-03 11:33:38.558335;2023-01-03 11:44:02.227422
application_received100;review_application;officer4;2023-01-03 11:44:03.227422;2023-01-03 12:43:28.566239
application_received100;credit_check;analyst5;2023-01-03 12:43:28.566239;2023-01-03 13:41:11.137833
application_received100;document_verification;verifier1;2023-01-03 13:41:11.137833;2023-01-03 13:54:21.168435
application_received100;risk_assessment;risk2;2023-01-03 13:41:11.137833;2023-01-03 14:48:51.158109
application_received100;application_approved;;2023-01-03 14:48:51.158109;2023-01-03 14:48:51.158109
application_received101;application_received;;2023-01-03 12:04:34.433627;2023-01-03 12:04:34.433627
application_received101;review_application;officer1;2023-01-03 12:04:34.433627;2023-01-03 12:25:55.162868
application_received101;credit_check;analyst1;2023-01-03 12:25:55.162868;2023-01-03 13:30:13.827039
application_received101;document_verification;verifier2;2023-01-03 13:30:13.827039;2023-01-03 13:43:10.628378
application_received101;risk_assessment;risk10;2023-01-03 13:30:13.827039;2023-01-03 14:28:24.292557
application_received101;application_approved;;2023-01-03 14:28:24.292557;2023-01-03 14:28:24.292557
application_received102;application_received;;2023-01-03 12:17:24.578928;2023-01-03 12:17:24.578928
application_received102;review_application;officer2;2023-01-03 12:17:24.578928;2023-01-03 12:38:39.226714
application_received102;credit_check;analyst3;2023-01-03 12:38:39.226714;2023-01-03 13:50:49.904584
application_received102;document_verification;verifier3;2023-01-03 13:50:49.904584;2023-01-03 14:03:37.737053
application_received102;risk_assessment;risk7;2023-01-03 13:50:49.904584;2023-01-03 14:52:25.848793
application_received102;application_approved;;2023-01-03 14:52:25.848793;2023-01-03 14:52:25.848793
application_received103;application_received;;2023-01-03 12:49:53.924207;2023-01-03 12:49:53.924207
application_received103;review_application;officer5;2023-01-03 12:49:53.924207;2023-01-03 13:08:12.495495
application_received103;credit_check;analyst2;2023-01-03 13:08:12.495495;2023-01-03 14:12:19.583835
application_received103;document_verification;verifier4;2023-01-03 14:12:19.583835;2023-01-03 14:24:08.860363
application_received103;risk_assessment;risk4;2023-01-03 14:12:19.583835;2023-01-03 15:11:31.207176
application_received103;application_rejected;;2023-01-03 15:11:31.207176;2023-01-03 15:11:31.207176
application_received145;application_received;;2023-01-04 09:38:35.472296;2023-01-04 09:38:35.472296
